Y1;Y2;Y3;Y4;Y5
-0.58704689;0.99384694;0.98334668;0.987;1.0223693
-1.4274798;0.98510389;0.95071138;0.969;1.0712116
0.059141295;1.000622;0.93276102;0.958;1.1403478
0.65334393;1.0068927;0.94021914;0.999;1.2285295
-1.7881294;0.98137566;0.94106636;0.952;1.3378218
-1.6714132;0.98258067;0.91325726;0.928;1.4498913
-1.4535179;0.98483424;0.87057088;0.961;1.5224782
-1.1483639;0.98799898;0.85312451;1;1.552065
-1.0239239;0.98929245;0.86135678;0.931;1.5770795
-1.5150961;0.98419685;0.86525801;0.953;1.6291775
-1.8257543;0.98098753;0.8596702;0.976;1.7062023
-2.2379403;0.97674549;0.85618168;0.938;1.7838633
-0.77310714;0.99190468;0.85243954;0.981;1.8336919
-0.93834244;0.990183;0.84291637;0.959;1.8385372
-2.0402784;0.97877745;0.83987405;0.985;1.831702
-1.6790691;0.98250158;0.85131689;1.02;1.8429783
1.5322224;1.0162399;0.85508492;0.99;1.8786862
2.5694655;1.0273829;0.84607218;0.962;1.9505261
0.32005027;1.0033706;0.82835811;1.03;2.0481492
0.28374983;1.0029877;0.8176924;1.08;2.1157025
0.94776676;1.0100144;0.83362409;1.02;2.0717227
2.0865689;1.0221801;0.84757934;1.05;1.9399449
1.4862725;1.015749;0.83757909;1.07;1.8456126
1.8441478;1.0195781;0.82564003;1.06;1.8290224
1.946253;1.0206732;0.82089389;1.05;1.8622915
2.0180958;1.0214445;0.82111621;1.08;1.9225829
1.9490091;1.0207028;0.82207163;1.1;1.9883077
2.1160295;1.0224967;0.82604666;1.04;2.0257718
2.103791;1.0223652;0.82368047;1.05;1.9746257
1.69214;1.0179499;0.81150194;1.1;1.8333652
1.3812456;1.014628;0.80588201;1.03;1.6697272
0.038850232;1.0004085;0.8155567;1;1.5513409
-0.11169026;0.99882641;0.83781224;1.05;1.5049178
0.56617832;1.0059704;0.84279366;1.02;1.4937984
0.26399113;1.0027794;0.82056823;1.03;1.4675401
0.055231665;1.0005809;0.79097487;0.981;1.4032384
0.58580597;1.006178;0.76646919;0.972;1.3151222
-0.057055793;0.99940031;0.75933583;0.969;1.2197222
-0.39908135;0.99581295;0.765363;0.977;1.1269696
0.53850263;1.0056777;0.77552602;0.976;1.0248857
-1.1713239;0.98776051;0.78822804;1;0.88111139
-1.6075035;0.98324112;0.78776237;1.03;0.71260798
-1.7123969;0.98215737;0.76538363;1.01;0.57273765
-1.2770716;0.98666292;0.73228151;0.987;0.47444844
